Date,From,Subject
2026-01-12 08:12:00,alerts@github.com,Deployment alert: api-service
2026-01-12 09:01:00,calendar@google.com,Meeting moved to 10:30
2026-01-12 11:20:00,finance@bank.com,Payment receipt #48291
2026-01-12 14:46:00,promo@store.com,Flash sale ends tonight
2026-01-13 10:15:00,team@asana.com,Sprint planning notes
2026-01-13 12:03:00,newsletter@producthunt.com,Top launches this week
2026-01-13 16:28:00,ops@company.io,Server error alert resolved
2026-01-14 09:42:00,calendar@google.com,Schedule update: 1:1
2026-01-14 13:09:00,billing@saas.io,Invoice #9012 is ready
2026-01-14 18:37:00,friends@community.org,Weekend meetup plan
