Date,From,Subject
2026-01-10 06:55:00,newsletter@dailybrief.io,Morning digest
2026-01-10 08:22:00,calendar@google.com,Yoga class invite
2026-01-10 09:14:00,billing@streaming.com,Payment receipt for January
2026-01-10 11:47:00,promo@shopzone.com,Deal alert: 30% off today
2026-01-10 13:25:00,friends@community.org,Lunch photos from yesterday
2026-01-10 15:30:00,alerts@github.com,Repository security alert
2026-01-10 17:11:00,team@asana.com,Task update: design handoff
2026-01-11 07:44:00,calendar@google.com,Schedule update: dentist
2026-01-11 08:08:00,newsletter@producthunt.com,Weekly startup digest
2026-01-11 10:19:00,finance@bank.com,Monthly statement available
2026-01-11 12:58:00,promo@store.com,Weekend sale just started
2026-01-11 14:07:00,ops@company.io,Server warning: retry spikes
2026-01-11 16:42:00,alerts@github.com,Deployment succeeded
2026-01-11 19:03:00,family@chatmail.com,Dinner plan for Sunday
2026-01-12 08:31:00,calendar@google.com,Meeting moved to 9:00
2026-01-12 09:52:00,team@asana.com,Backlog grooming notes
2026-01-12 11:06:00,billing@saas.io,Invoice #10422
2026-01-12 13:48:00,newsletter@dailybrief.io,Midday market summary
2026-01-12 15:59:00,promo@shopzone.com,Cart reminder
2026-01-12 18:37:00,alerts@github.com,Error alert: worker timeout
